Ticker,Sector,Window,Window_Weeks,N_Folds,N_Test,F1_Tech,AUC_Tech,Precision_Tech,Recall_Tech,F1_Enhanced,AUC_Enhanced,Precision_Enhanced,Recall_Enhanced,F1_Lift_%,AUC_Lift_%,DM_Stat,P_Value,Significant
HRHO.CA,Financial Services,Short,26,92,1196,0.40831769167850746,0.494834603801995,0.44846810797897757,0.4615812629399585,0.4664985488556233,0.5362840360122969,0.4971929338777164,0.5372282608695652,14.2489190066555,8.376421513740302,3.262045194578497,0.0011373705443611382,Yes
HRHO.CA,Financial Services,Medium,52,90,1170,0.44179411270226543,0.5109920634920636,0.4997464880798214,0.48144620811287475,0.4683187342147722,0.541957671957672,0.5052007868674535,0.5334744268077601,6.003842231003721,6.059900080246413,1.8376502313589047,0.06636762615022773,No
HRHO.CA,Financial Services,Long,104,86,1118,0.4263221985133209,0.48484219269102985,0.4702125071311119,0.4447628276116648,0.48774887718198323,0.5347360649686232,0.5505268310500869,0.5375138427464009,14.408510484058915,10.290744706162306,1.72305725573369,0.0851549301053578,No
ISPH.CA,Consumer,Short,26,30,390,0.41324509282713623,0.5454954304954305,0.44398027898027886,0.48052910052910053,0.3836217580722225,0.4717616642616642,0.4554158804158804,0.41838624338624336,-7.168466188491542,-13.516843975539757,0.24469047320117304,0.8068251241857678,No
ISPH.CA,Consumer,Medium,52,28,364,0.46213853256920484,0.5757099051741909,0.5142290249433106,0.4860827664399094,0.47194520919642546,0.5448490002061431,0.4489976293547722,0.567517006802721,2.122020982042237,-5.360495744590364,-0.26283251495521065,0.7928287822128863,No
ISPH.CA,Consumer,Long,104,24,312,0.4037377178921296,0.4930390211640212,0.4685380591630592,0.42063492063492064,0.3938221500721501,0.47082732082732087,0.43830567580567575,0.40292658730158726,-2.455942900689978,-4.505059312396916,0.27534984564867526,0.783230322182507,No
JUFO.CA,Consumer,Short,26,60,780,0.4433664996281095,0.5012632275132276,0.44662457912457915,0.5350529100529101,0.43094617800500157,0.5040277777777779,0.46754227254227254,0.49252645502645503,-2.8013667323818847,0.5515166708448197,2.7854665237191685,0.005474900100112867,Yes
JUFO.CA,Consumer,Medium,52,58,754,0.415897760116827,0.4821154898741106,0.44223946551532756,0.48017925561029007,0.450348179304889,0.5023604269293924,0.468142728918591,0.507183908045977,8.28338656557919,4.199188261005289,2.1609103450475273,0.03101691474418078,Yes
JUFO.CA,Consumer,Long,104,54,702,0.4572351257464777,0.45632716049382716,0.47504943616054723,0.5032554379776601,0.47630579694993186,0.5064226925338036,0.4853168950391173,0.5355379188712521,4.170867487995282,10.97798605407667,2.3478411480257786,0.01915964814827653,Yes
MASR.CA,Real Estate,Short,26,98,1170,0.4166534775280905,0.5152597402597402,0.4633893883893883,0.45951499118165784,0.4327785496619346,0.537492784992785,0.4550051491718159,0.4812125220458553,3.8701398172674373,4.314919834768614,3.9806473143889423,7.296365732067933e-05,Yes
MASR.CA,Real Estate,Medium,52,96,1157,0.4603261944280137,0.5138929422637287,0.4836669260826565,0.5023943285179241,0.45952742860159285,0.5414615658997682,0.4810439872237625,0.5084893882646692,-0.1735216974592062,5.364662825412254,1.6467234319668458,0.09988670161718338,No
MASR.CA,Real Estate,Long,104,92,1131,0.4477546835452247,0.5306040702592427,0.5014533678326782,0.4746807151979565,0.4713491337276966,0.5560489957041681,0.5121619121619122,0.5107735814632365,5.269503826438211,4.795463674542393,0.9223209053314069,0.35655809265030136,No
